"T","Na","Na2","NaO","Na2O2","Na2SO4","O","O3","S","S2","S3","S4","S5","S6","S7","S8","SO","SO3","S2O","O2","SO2"
343.0,-103.62617534586965,-183.13205713120652,-154.32279409501365,-203.75549389341415,-108.19499886967694,-136.46605540651925,-210.81546050100144,-194.78342675254703,-244.04052931655232,-349.02669195983066,-453.73493400381693,-559.0378626754876,-656.8488641949913,-765.0920818085162,-866.024791960507,-153.2328283479771,-129.13863942126366,-235.06468524864158,-104.31932252643813,-104.31932252644644
344.0,-103.29680306401647,-182.54457644241091,-153.8296445548473,-203.1067318037177,-107.83869808340862,-136.04851151711898,-210.17467157729038,-194.1989943293309,-243.3069564937487,-347.98589137043695,-452.38667820721196,-557.4001094535641,-654.9296341537363,-762.8588404392419,-863.4996186595961,-152.76043310219205,-128.7440768857419,-234.35353751781616,-103.9899502445855,-103.98995024459437
345.0,-102.969354803534,-181.96052616119454,-153.33937126161607,-202.46175747893375,-107.48449553435316,-135.6333926367487,-209.53761815623795,-193.61794617455956,-242.57763448248653,-346.9511151965469,-451.0462163673737,-555.7718237999766,-653.0214903159825,-760.6384980893777,-860.9890224840971,-152.29078341640013,-128.35182194274952,-233.64651606996415,-103.6625019841036,-103.66250198411308
346.0,-102.64381387199683,-181.37987653358607,-152.85194926594377,-201.82053805116004,-107.13237295639985,-135.2206777501306,-208.9042678010847,-193.04025298739884,-241.85252647004089,-345.922311283415,-449.713481048215,-554.1529237626768,-651.1243367580006,-758.4309431365277,-858.4928773325541,-151.82385549716489,-127.96185454323313,-232.94358515654966,-103.33696105256706,-103.33696105257717
347.0,-102.32016376922108,-180.80259814820207,-152.3673539059617,-201.18304103129267,-106.7823122942042,-134.81034608412364,-208.27458844913318,-192.4658858046658,-241.1315960679859,-344.89942807741113,-448.3884055906296,-552.5433283343881,-649.2380786615926,-756.2360652449747,-856.0110585567113,-151.35962582525394,-127.57415486922423,-232.2447094410278,-103.01331094979197,-103.01331094980273
348.0,-101.9983881845086,-180.22866193133632,-151.88556080318173,-200.54923430359196,-106.43429570017119,-134.40237710424626,-207.64854840637818,-191.89481599597215,-240.41480730609004,-343.88241461736936,-447.0709241013133,-550.9429574390009,-647.3626222981763,-754.0537553471535,-853.5434429405935,-150.8980711516975,-127.18870333052753,-231.54985399292121,-102.69153536508018,-102.69153536509167
349.0,-101.67847099393873,-179.65803914213546,-151.4065458584413,-199.91908612034246,-106.08830553149124,-133.996750511258,-207.0261163422291,-191.3270152589514,-239.70212462631693,-342.87122052608834,-445.76097144177936,-549.3517319182083,-645.4978750131511,-751.88390562545,-851.0899086799546,-150.43916849391564,-126.80548056146634,-230.858984282,-102.37161817451107,-102.37161817452329
350.0,-101.3603962577061,-179.0907013678571,-150.93028524791728,-199.2925650966048,-105.74432434722519,-133.5934462378004,-206.40726128432232,-190.76245561456753,-238.993512876929,-341.86579600197643,-444.45848321756074,-547.7695735183697,-643.6437452105266,-749.7264094943101,-848.6503353620731,-149.98289513191105,-126.42446741768305,-230.17206617256028,-102.05354343827922,-102.05354343829224
351.0,-101.0441482175039,-178.5266205192063,-150.4567554192075,-198.6696402050548,-105.4023349054395,-133.1924444450951,-205.79195261342255,-190.20110940250504,-238.288937306693,-340.86609181084054,-443.16339576760026,-546.1964048775981,-641.8001423378194,-747.5811615826565,-846.2246039459002,-149.52922860452787,-126.04564497299464,-229.48906591780192,-101.73729539807785,-101.7372953980917
352.0,-100.7297112939512,-177.96576882575408,-149.98593308747965,-198.05028077091293,-105.06232016038926,-132.79372551969797,-205.18016005841008,-189.64294927663667,-237.5883635591834,-339.8720592778157,-441.8756461538197,-544.6321495130726,-639.9669768712059,-745.4480577166069,-843.8125967425431,-149.07814670577366,-125.66899451630032,-228.80995015430122,-101.42285847452602,-101.42285847454077
353.0,-100.41707008406453,-177.40811883143158,-149.5177952316848,-197.43445646695733,-104.724263259749,-132.3972700703087,-204.57185369135414,-189.0879482005691,-236.89175766718367,-338.8836502794309,-440.5951721508675,-543.0767318085632,-638.1441603009291,-743.326994902486,-841.4141973960834,-148.62962748120415,-125.2944975485429,-228.134685896578,-101.11021726464033,-101.110217264656
354.0,-100.10620935877171,-176.85364339010118,-149.05231909083585,-196.82213730862327,-104.38814754189015,-132.0030589246344,-203.96700392266857,-188.53607944326419,-236.1990860471831,-337.9008172358121,-439.32191223604195,-541.5300770021709,-636.3316051169537,-741.2178713101279,-839.029290864722,-148.18364922436984,-124.92213577972058,-227.4632405317554,-100.79935653934847,-100.79935653936515
355.0,-99.79711406046731,-176.30231566120185,-148.5894821603478,-196.21329364918282,-104.0539565332035,-131.61107312630602,-203.36558149635013,-187.98731657473402,-235.51031549396524,-336.92351310301495,-438.0558055793829,-539.9921111742717,-634.5292247948637,-739.1205862564599,-836.657763402241,-147.7401904733215,-124.55189112594888,-226.79558181430906,-100.49026124104515,-100.49026124106288
356.0,-99.48976930060988,-175.75410910546782,-148.1292621884405,-195.60789617500785,-103.72167394546729,-131.22129393184693,-202.76755748529573,-187.4416334618094,-234.82541317529,-335.95169136548907,-436.79679203393295,-538.4627612356709,-632.7369337820004,-737.0350401893653,-834.2995025397838,-147.29923000717602,-124.18374570657245,-226.13167786090588,-100.1829164811888,-100.18291648120764
357.0,-99.18416035735883,-175.20899748071824,-147.67163717260087,-195.00591590091065,-103.39128367325814,-130.83370280769236,-202.17290328669995,-186.89900426397867,-234.1443466266634,-334.98530602866816,-435.54481212616173,-536.9419549159497,-630.9546474838314,-734.9611346718182,-831.954397067937,-146.8607468427391,-123.817681841325,-225.471497145329,-99.87730753793895,-99.87730753795896
358.0,-98.88027267325103,-174.6669548377186,-147.21658535610524,-194.4073241655634,-103.0627697914063,-130.44828142725868,-201.5815906175274,-186.35940342929752,-233.4670837461968,-334.0243116116851,-434.29980704655185,-535.4296207520147,-629.1822822505516,-732.8987723662859,-829.6223370191195,-146.42472023118498,-123.45368204753595,-224.81500849348828,-99.57341985383238,-99.57341985385362
359.0,-98.57809185291595,-174.12795551610907,-146.7640852245988,-193.81209262699338,-102.73611655249107,-130.06501166806177,-200.99359151006252,-185.82280569036624,-232.79359278955087,-333.0686631402092,-433.06171864034144,-533.9256880768341,-627.4197553639065,-730.8478570193907,-827.3032136502616,-145.9911296547915,-123.09172903738457,-224.162181078514,-99.27123903349859,-99.27123903352116
360.0,-98.27760366082914,-173.59197414040264,-146.31411550273293,-193.22019325815367,-102.41130838438019,-129.68387560888345,-200.40887830753246,-185.28918606037496,-232.12384236496484,-332.1183161394031,-431.83048939842234,-532.430087008365,-625.6669850242373,-728.8082934468295,-824.9969194257756,-145.55995482372973,-122.73180571519913,-223.51298441593264,-98.97075084141314,-98.97075084143708
361.0,-97.97879401910225,-173.0589856160471,-145.8666551508571,-192.63159834256652,-102.0883298878075,-129.30485552698494,-199.82742365980243,-184.7585198292144,-231.45780142836878,-331.1732266269965,-430.60606244838993,-530.9427484386656,-623.9238903377416,-726.7799875185452,-822.7033480008129,-145.13117567290715,-122.37389517480061,-222.86738835892288,-98.67194119968771,-98.67194119971312
362.0,-97.6816490053104,-172.52896512555478,-145.42168336176707,-192.0462804700396,-101.76716583399246,-128.92793389536632,-199.24920051914307,-184.23078255965143,-230.79543927857634,-330.2333511064765,-429.38838154574154,-529.4636040231859,-622.1903913039464,-724.762846144146,-820.4223942047953,-144.70477235886295,-122.01798069689066,-222.22536309365032,-98.3747961858974,-98.37479618592434
363.0,-97.38615485035444,-172.00188812469372,-144.97917955750526,-191.46421253245188,-101.44780116229649,-128.55309338007143,-198.67418213606663,-183.70595008356764,-230.13672555255775,-329.29864656038905,-428.17739106522043,-527.9925861702399,-620.4664088033871,-722.7567772585619,-818.1539540252223,-144.2807252567147,-121.66404574648216,-221.58687913467935,-98.07930203094308,-98.07930203097165
364.0,-97.09229793635942,-171.47773033874222,-144.53912338621467,-190.8853677196097,-101.13022097791982,-128.18031683753748,-198.102342055233,-183.18399849826028,-229.48163022079052,-328.36907044375175,-426.97303599230275,-526.5296280306472,-618.7518645854923,-720.7616898079434,-815.8979245917442,-143.8590149571557,-121.31207397037228,-220.95190732046063,-97.78544511694976,-97.78544511698003
365.0,-96.80006479460612,-170.9564677588052,-144.10149471904424,-190.30971951516992,-100.81441054963405,-127.80958731198749,-197.5336541114211,-182.66490416280425,-228.83012358268712,-327.44458067757625,-425.775261914826,-525.0746634875504,-617.0466812566673,-718.7774937357904,-813.6542041605,-143.4396222635012,-120.96204919465663,-220.32041880889335,-97.49321197519824,-97.49321197523031
366.0,-96.50944210349778,-170.43807663819018,-143.66627364710462,-189.73724169263073,-100.50035530755369,-127.4408880328663,-196.96809242556836,-182.14864369447366,-228.18217626209767,-326.52513564249546,-424.5840150147533,-523.6276271463951,-615.3507822685739,-716.8040999693094,-811.422692098711,-143.02252818878384,-120.61395542228436,-219.69238507295967,-97.20258928409184,-97.2025892841258
367.0,-96.220416686559,-169.92253348884267,-143.23344047847405,-189.16790831138687,-100.18804084094147,-127.07420241231772,-196.40563140087272,-181.63519396522184,-227.53775920288584,-325.61069417249564,-423.3992420600735,-522.1884543250782,-613.664091906601,-714.8414204059939,-809.2032888695265,-142.60771395289555,-120.26777683065222,-219.06777789643058,-96.91356386715506,-96.91356386719102
368.0,-95.93297551046756,-169.40981507783883,-142.80297573525263,-188.60169371284925,-99.8774528960509,-126.70951404270338,-195.84624571895972,-181.1245320982194,-226.89684366457809,-324.7012155487523,-422.2208903968346,-520.7570810442554,-611.9865352785267,-712.8893679004268,-806.9958960171211,-142.19516097977728,-119.92349776923909,-218.44656936964296,-96.62612269106573,-96.6261226911038
369.0,-95.64710568311824,-168.899898423936,-142.37486015066477,-188.03857251662845,-99.56857737400367,-126.34680669416167,-195.28991033611123,-180.61663546444797,-226.2594012180823,-323.79665949356473,-421.04890794130426,-519.3334440178057,-610.3180383033615,-710.9478562512936,-804.8004161520282,-141.78485089465343,-119.58110275727739,-217.82873188534356,-96.34025286371862,-96.34025286375889
370.0,-95.36279445171749,-168.39276079417772,-141.94907466620788,-187.47851961677833,-99.26140032869961,-125.9860643122062,-194.73660047955474,-180.11148167934996,-225.62540374147795,-322.89698616439017,-419.88324317226153,-517.9174806434546,-608.658527700377,-709.0168001886124,-802.6167529367206,-141.37676552131185,-119.24057648146314,-217.21423813460225,-96.0559416323202,-96.0559416323628
371.0,-95.08002920090935,-167.88837970055445,-141.525600428848,-186.92151017810139,-98.95590796476239,-125.62727101536325,-194.18629164381326,-179.60904859953223,-224.99482341587256,-322.0021561479744,-418.72384512340983,-516.5091289935451,-607.0079309783083,-707.0961153611643,-800.4448110714167,-140.9708868794275,-118.90190379370208,-216.60306110279015,-95.77317638151452,-95.77317638155958
372.0,-94.79879745093132,-167.38673289671812,-141.10441878826006,-186.36751963251345,-98.65208663551641,-125.2704110928472,-193.63895958711413,-179.10931431952304,-224.3676327213263,-321.11213045457737,-417.57066337591516,-515.1083278059608,-605.3661764247346,-705.1857183241353,-798.2844962801221,-140.56719718192946,-118.56506970889303,-215.99517406562333,-95.49194463153907,-95.4919446315867
373.0,-94.51908685579951,-166.88779837474806,-140.6855112941125,-185.81652367546644,-98.34992284099725,-124.91546900227334,-193.0945803278545,-178.61225716858132,-223.74380443284193,-320.22687051229144,-416.4236480510633,-513.7150164751945,-603.7331930956284,-703.285526526949,-796.1357152968933,-140.16567883241018,-118.23005940274551,-215.39055058526992,-95.21223403640998,-95.21223403646032
